country,macro_region,sub_region,country_iso_code,number_of_companies,mean_betweeness_centrality,sd_betweeness_centrality,median_betweeness_centrality,mean_page_rank,sd_page_rank,median_page_rank
Australia,Oceania,Australia and New Zealand,AU,18,110.66338073691,143.922033217998,37.3516483516486,0.000342714562586172,0.000261161605908659,0.000402267605622629
Austria,Europe,Western Europe,AT,15,148.7034583064,154.976975238652,37.3516483516486,0.000391869582745013,0.000278622589145262,0.000402267605622704
Belarus,Europe,Eastern Europe,BY,2,0,0,0,7.96410841809372E-05,0,7.96410841809372E-05
Belgium,Europe,Western Europe,BE,12,15.5631868131869,19.2334338813247,0,0.000214068801448294,0.000166129639315798,7.96410841809372E-05
Bermuda,Americas,Northern America,BM,4,18.6758241758243,21.5649842305005,18.6758241758243,0.000240954344901789,0.000186268509002081,0.000240954344901767
Brazil,Americas,Latin America and the Caribbean,BR,31,45.2472214692329,102.333126978741,0,0.000204519578136925,0.00020989967390821,7.96410841809372E-05
Bulgaria,Europe,Eastern Europe,BG,4,303.976405946994,18.6758241758246,313.314318034907,0.000644166260537747,5.76654673861464E-05,0.000672998994230743
Canada,Americas,Northern America,CA,34,112.778679797711,137.581013683941,37.3516483516486,0.000344621127813273,0.000241768294408353,0.000402267605622574
Cayman Islands,Americas,Latin America and the Caribbean,KY,30,86.0405946994183,131.854374306705,0,0.000280107853623967,0.000246403720200683,7.96410841809372E-05
Chile,Americas,Latin America and the Caribbean,CL,1,0,NA,0,7.96410841809372E-05,NA,7.96410841809372E-05
China,Asia,Eastern Asia,CN,776,42.648593636503,97.2469773572612,0,0.000193739106256464,0.00019722991885632,7.96410841809372E-05
Croatia,Europe,Southern Europe,HR,2,156.657159017453,168.723471249429,156.657159017453,0.000479967832540576,0.000109884714707129,0.000479967832540576
Cyprus,Asia,Western Asia,CY,1,0,NA,0,7.96410841809372E-05,NA,7.96410841809372E-05
Czech Republic,Europe,Eastern Europe,CZ,17,200.535638237195,139.714179864635,275.962669683258,0.000493375956874096,0.000220909593543678,0.000557668059458608
Denmark,Europe,Northern Europe,DK,2,37.3516483516486,0,37.3516483516486,0.00040226760562247,1.49419443455795E-16,0.00040226760562247
Egypt,Africa,Northern Africa,EG,3,91.9875565610858,159.327121627916,0,0.000238983409273467,0.000275989002856419,7.96410841809372E-05
Finland,Europe,Northern Europe,FI,10,187.988590820944,146.957070882344,275.962669683258,0.000477114947544773,0.000234197219824721,0.000557668059458878
France,Europe,Western Europe,FR,41,158.656033708042,148.521407688651,275.962669683258,0.000403210161616329,0.000262510169061839,0.000557668059458449
Germany,Europe,Western Europe,DE,213,104.516504001384,136.453378951762,37.3516483516486,0.000334327969982492,0.000247444448573038,0.000402267605622374
Greece,Europe,Southern Europe,GR,1,0,NA,0,7.96410841809372E-05,NA,7.96410841809372E-05
"Hong Kong SAR, China",Asia,Eastern Asia,HK,63,92.482793117247,137.563595621739,0,0.000284648413516085,0.000258767929631256,7.96410841809372E-05
Hungary,Europe,Eastern Europe,HU,13,195.682014817762,149.532008147316,313.314318034907,0.00048554765252771,0.000251548363597897,0.000672998994230197
India,Asia,Southern Asia,IN,25,65.6509954751132,123.3647959869,0,0.000232414611372997,0.000238534944899122,7.96410841809372E-05
Ireland,Europe,Northern Europe,IE,5,313.314318034907,0,313.314318034907,0.000672998994230785,2.71666840245504E-16,0.000672998994230809
Israel,Asia,Western Asia,IL,27,122.9593119299,149.4118665471,37.3516483516486,0.000359148925207172,0.000272580994286931,0.000402267605622516
Italy,Europe,Southern Europe,IT,23,129.727677693151,142.17428000675,37.3516483516486,0.000344603785112171,0.000248022415828143,0.000402267605622589
Japan,Asia,Eastern Asia,JP,320,125.027739172592,141.063509990091,37.3516483516486,0.000368029264340245,0.000246938522479353,0.000402267605622442
Liechtenstein,Europe,Western Europe,LI,1,0,NA,0,7.96410841809372E-05,NA,7.96410841809372E-05
